Channel,Throughput,Latency,Jitter,PDR
0,2347.417840375587,37.166666666666664,1.3437096247165472,0.012
0,2523.5849056603774,24.0,11.21223821162776,0.014
0,1008.9686098654709,22.666666666666668,16.110727964792762,0.006
0,17734.042553191488,3.8043478260869565,2.8561114125251037,0.092
0,1754.6296296296296,20.8,8.207313811473274,0.01
0,1560.0,11.25,16.037066439969625,0.008
0,947.6439790575917,11.5,8.5,0.004
0,1297.2972972972973,12.5,8.986100377805714,0.008
0,19570.0,3.462962962962963,3.655097723590797,0.108
0,1569.377990430622,26.25,7.084313657652377,0.008
0,2009.9502487562188,28.333333333333332,10.29023269362209,0.012
0,1541.095890410959,30.166666666666668,4.219662967057386,0.012
0,14930.656934306568,4.9818181818181815,5.897583200202079,0.11
0,15878.787878787878,3.508771929824561,3.8165052766806657,0.114
0,15564.20233463035,4.134615384615385,4.607806278287407,0.104
0,16959.595959595958,2.7111111111111112,2.4094464299430753,0.09
0,1779.735682819383,26.0,7.15541752799933,0.01
0,1027.7777777777778,21.666666666666668,13.474255287605155,0.006
0,711.5384615384615,19.5,19.5,0.004
0,680.0,32.5,6.5,0.004
0,20836.06557377049,3.2083333333333335,2.3359360484016296,0.096
0,1586.3636363636363,22.8,11.391224692718513,0.01
0,1463.8783269961978,22.0,14.310835055998652,0.01
0,19352.422907488984,3.1,2.481263119192857,0.12
0,1774.7747747747746,24.4,17.939899665271266,0.01
0,1202.7027027027027,19.0,3.391164991562634,0.008
0,613.7339055793991,14.0,7.0,0.004
0,1404.6511627906978,19.25,17.80975856096876,0.008
0,1166.6666666666667,23.0,10.88577052853862,0.008
0,12385.756676557863,3.9444444444444446,4.923175227532294,0.108
0,19120.0,3.5,3.191133549905634,0.12
0,18120.19230769231,3.5,2.692582403567252,0.096
0,1337.6623376623377,21.2,8.376156636548771,0.01
0,1418.6046511627908,25.6,4.317406628984566,0.01
0,1257.64192139738,21.5,5.545268253204709,0.008
