Channel,Throughput,Latency,Jitter,PDR
0,1331.2883435582821,36.0,3.5590260840104477,0.006
0,3413.612565445026,17.125,12.046135272360177,0.016
0,1911.6022099447514,26.6,6.437390775772428,0.01
0,2317.3076923076924,15.5,2.8722813232690143,0.012
0,24214.285714285714,3.033333333333333,2.2654408450061596,0.12
0,2234.63687150838,26.0,10.658330075579384,0.01
0,1919.5979899497486,23.4,8.284926070883198,0.01
0,1488.505747126437,30.0,15.604486534327235,0.008
0,1500.0,19.5,11.629703349613008,0.008
0,388.60103626943004,38.0,0.0,0.002
0,640.7185628742515,33.5,5.5,0.004
0,1316.062176165803,13.25,5.356071321407137,0.008
0,1467.455621301775,30.0,1.4142135623730951,0.006
0,1668.2926829268295,18.25,13.254716141811564,0.008
0,777.7777777777777,23.0,17.0,0.004
0,1960.2272727272727,17.6,7.939773296511681,0.01
0,1964.467005076142,12.8,4.166533331199926,0.01
0,1393.9393939393938,30.25,1.6393596310755,0.008
0,1217.6470588235293,25.666666666666668,16.21384867602041,0.006
0,1601.1235955056181,21.0,12.186057606953941,0.008
0,1788.9447236180904,21.0,7.456540752922901,0.01
0,1448.2758620689656,21.333333333333332,12.97005097222915,0.006
0,3381.909547738693,18.555555555555557,9.334655990936986,0.018
0,955.8011049723757,18.5,14.5,0.004
0,2341.4634146341464,24.4,5.161395160225585,0.01
0,2137.3626373626375,22.8,13.452137376640186,0.01
0,1374.3589743589744,15.25,4.815340071064556,0.008
0,1153.0054644808743,24.0,7.788880963698612,0.006
0,1471.2041884816754,23.75,5.018714974971183,0.008
0,1890.0523560209424,25.2,6.823488843692797,0.01
0,2802.0833333333335,29.285714285714285,4.558016038155382,0.014
0,1642.1052631578948,27.25,3.897114317029974,0.008
0,2181.818181818182,23.666666666666668,5.587684871413399,0.012
0,1777.7777777777778,21.6,5.161395160225569,0.01
0,1400.0,25.75,7.790218225441442,0.008
0,27541.666666666664,2.433333333333333,2.092579482095935,0.12
0,1554.9738219895287,11.5,10.781929326423912,0.008
0,1604.0609137055837,26.6,6.681317235396025,0.01
0,1982.3529411764705,27.8,1.9390719429665293,0.01
0,1401.0416666666667,11.0,12.864680330268607,0.008
0,1469.879518072289,28.0,0.8164965809277028,0.006
0,3456.521739130435,23.88888888888889,11.570503152839835,0.018
0,2497.1098265895957,26.333333333333332,5.5277079839256755,0.012
0,2703.91061452514,8.833333333333334,2.4094720491334907,0.012
0,1483.8709677419356,25.25,11.255554184490428,0.008
0,1444.4444444444446,21.0,1.6329931618554578,0.006
0,2266.304347826087,25.666666666666668,7.717224601860149,0.012
